case_id,arm,common_input_sha256,normalized_request_sha256,common_input_equal,normalized_request_equal,oracle_disposition,materialized_state_sha256,oracle_state_equal,validator_accepts_oracle,hidden_answer_leakage_pass,arm_specific_information_pass
X16-OR01,cope,ead010219c893fdcdba18de1c3fa3802a326cc4fe6cd875b1a099b2595a2a03f,fd42ac064477647c350130f6cf094ab219e71ca8098fce8af3ff1e50438ecaeb,True,True,NO_OP,acfe7c3290af1ffd79224429faa0bf43713faac945d35b1c846cfbf483c066e0,True,True,True,True
X16-OR01,compact_tx,ead010219c893fdcdba18de1c3fa3802a326cc4fe6cd875b1a099b2595a2a03f,fd42ac064477647c350130f6cf094ab219e71ca8098fce8af3ff1e50438ecaeb,True,True,NO_OP,acfe7c3290af1ffd79224429faa0bf43713faac945d35b1c846cfbf483c066e0,True,True,True,True
X16-OR01,fsr_pc,ead010219c893fdcdba18de1c3fa3802a326cc4fe6cd875b1a099b2595a2a03f,fd42ac064477647c350130f6cf094ab219e71ca8098fce8af3ff1e50438ecaeb,True,True,NO_OP,acfe7c3290af1ffd79224429faa0bf43713faac945d35b1c846cfbf483c066e0,True,True,True,True
X16-OR02,cope,32eb8d066124341082d2063f189dee980544fe0064e3b801bb5374c012ad46c9,da79a5db45af38955ec2d4be1ee6148226b7853457eae49e618ff9cd35e01359,True,True,REJECT,ca298f2ef04f8a62ba6751333bb9f2ae2b0865743080e69af61f8f850ecb4916,True,True,True,True
X16-OR02,compact_tx,32eb8d066124341082d2063f189dee980544fe0064e3b801bb5374c012ad46c9,da79a5db45af38955ec2d4be1ee6148226b7853457eae49e618ff9cd35e01359,True,True,REJECT,ca298f2ef04f8a62ba6751333bb9f2ae2b0865743080e69af61f8f850ecb4916,True,True,True,True
X16-OR02,fsr_pc,32eb8d066124341082d2063f189dee980544fe0064e3b801bb5374c012ad46c9,da79a5db45af38955ec2d4be1ee6148226b7853457eae49e618ff9cd35e01359,True,True,REJECT,ca298f2ef04f8a62ba6751333bb9f2ae2b0865743080e69af61f8f850ecb4916,True,True,True,True
X16-AS01,cope,461f4ce3e826a60339539455c961dccfe5f75a3333b27f8639a1ebda1b40f9d2,68dc98c9915668af249bee97ef203836c99114cf09f1fc9c8cf54a1944d05dcf,True,True,NO_OP,4ed85a7baad47b4ff8268e9d8385baf39988e608cd0d7f215d1ddd83c18e1834,True,True,True,True
X16-AS01,compact_tx,461f4ce3e826a60339539455c961dccfe5f75a3333b27f8639a1ebda1b40f9d2,68dc98c9915668af249bee97ef203836c99114cf09f1fc9c8cf54a1944d05dcf,True,True,NO_OP,4ed85a7baad47b4ff8268e9d8385baf39988e608cd0d7f215d1ddd83c18e1834,True,True,True,True
X16-AS01,fsr_pc,461f4ce3e826a60339539455c961dccfe5f75a3333b27f8639a1ebda1b40f9d2,68dc98c9915668af249bee97ef203836c99114cf09f1fc9c8cf54a1944d05dcf,True,True,NO_OP,4ed85a7baad47b4ff8268e9d8385baf39988e608cd0d7f215d1ddd83c18e1834,True,True,True,True
X16-AS02,cope,68dd8caa765ef16c3f8087f793eb80e6aaba1decc924d372c93ad398c3584fcd,e27281bf6891e73d6fe8b090fa2a541953b3a3e8d8c02ce46591a6ec16e16164,True,True,APPLY,e911b94e4c4b52a73b177fc95166cea00aefd376b541b69ec4284209d41a0d8e,True,True,True,True
X16-AS02,compact_tx,68dd8caa765ef16c3f8087f793eb80e6aaba1decc924d372c93ad398c3584fcd,e27281bf6891e73d6fe8b090fa2a541953b3a3e8d8c02ce46591a6ec16e16164,True,True,APPLY,e911b94e4c4b52a73b177fc95166cea00aefd376b541b69ec4284209d41a0d8e,True,True,True,True
X16-AS02,fsr_pc,68dd8caa765ef16c3f8087f793eb80e6aaba1decc924d372c93ad398c3584fcd,e27281bf6891e73d6fe8b090fa2a541953b3a3e8d8c02ce46591a6ec16e16164,True,True,APPLY,e911b94e4c4b52a73b177fc95166cea00aefd376b541b69ec4284209d41a0d8e,True,True,True,True
X16-CO01,cope,606a8440880bcd7f65d43defa68cf37d7bba3ae88cab89d6ba45dcf9357947c4,fd675a1af0bcde1bdb504314d919aa5702929021822a5bb5b140af5839f27f1e,True,True,ABSTAIN,bce82bbc4802307f73a64cafec36f0d970f1c437a85f56f42bec907f170bf6b0,True,True,True,True
X16-CO01,compact_tx,606a8440880bcd7f65d43defa68cf37d7bba3ae88cab89d6ba45dcf9357947c4,fd675a1af0bcde1bdb504314d919aa5702929021822a5bb5b140af5839f27f1e,True,True,ABSTAIN,bce82bbc4802307f73a64cafec36f0d970f1c437a85f56f42bec907f170bf6b0,True,True,True,True
X16-CO01,fsr_pc,606a8440880bcd7f65d43defa68cf37d7bba3ae88cab89d6ba45dcf9357947c4,fd675a1af0bcde1bdb504314d919aa5702929021822a5bb5b140af5839f27f1e,True,True,ABSTAIN,bce82bbc4802307f73a64cafec36f0d970f1c437a85f56f42bec907f170bf6b0,True,True,True,True
X16-CO02,cope,4530f40d53e733f091a09e6a7e5fa859ec359ef52f689553c3eaece52ade497d,3a4c0e6ecd81d8e075b8876c88f999ebf1c2d69c38308019ed4e4fa44c33df87,True,True,ABSTAIN,a9227527755acd0d3c60d49dea5d17f2f56ae21e1d78a3212d9408e72f73fbe0,True,True,True,True
X16-CO02,compact_tx,4530f40d53e733f091a09e6a7e5fa859ec359ef52f689553c3eaece52ade497d,3a4c0e6ecd81d8e075b8876c88f999ebf1c2d69c38308019ed4e4fa44c33df87,True,True,ABSTAIN,a9227527755acd0d3c60d49dea5d17f2f56ae21e1d78a3212d9408e72f73fbe0,True,True,True,True
