case_id,family,arm,oracle_accepted,semantic_state_sha256,transaction_meta_sha256,common_input_sha256,rule_clause_count
SCE-S32-28,scale_32_subgoal_insert_full_bundle,compact_semantic,True,03c965b2513b8cac1bdc79c243a83588a29de7ed67c91980de8e6091d1e9630c,9de9a73daac597c52f283cbd56e100d3133170d8cc3a3c4f707d5d28f911e310,12dc2b60f18750fac9c3ede07422893d57e65d28bdbe77caee8ac9864695cc4f,4
SCE-S32-28,scale_32_subgoal_insert_full_bundle,fsr_semantic,True,03c965b2513b8cac1bdc79c243a83588a29de7ed67c91980de8e6091d1e9630c,9de9a73daac597c52f283cbd56e100d3133170d8cc3a3c4f707d5d28f911e310,12dc2b60f18750fac9c3ede07422893d57e65d28bdbe77caee8ac9864695cc4f,4
SCE-S32-29,scale_32_deadline_expire_pending,cope_semantic,True,840908db536af3d017dbdd6ad169af6b027b0adff500f97ebda0be4c2e495760,1f4f7085013569ce2c7d9210fd690be2abc64696b71f9636a75064c5c0ad48a3,4189f4d239e7fbdf9c71065f97850b54d3b1b1bd5008cb22146c80c6b579ccad,2
SCE-S32-29,scale_32_deadline_expire_pending,neutral_typed,True,840908db536af3d017dbdd6ad169af6b027b0adff500f97ebda0be4c2e495760,1f4f7085013569ce2c7d9210fd690be2abc64696b71f9636a75064c5c0ad48a3,4189f4d239e7fbdf9c71065f97850b54d3b1b1bd5008cb22146c80c6b579ccad,2
SCE-S32-29,scale_32_deadline_expire_pending,compact_semantic,True,840908db536af3d017dbdd6ad169af6b027b0adff500f97ebda0be4c2e495760,1f4f7085013569ce2c7d9210fd690be2abc64696b71f9636a75064c5c0ad48a3,4189f4d239e7fbdf9c71065f97850b54d3b1b1bd5008cb22146c80c6b579ccad,2
SCE-S32-29,scale_32_deadline_expire_pending,fsr_semantic,True,840908db536af3d017dbdd6ad169af6b027b0adff500f97ebda0be4c2e495760,1f4f7085013569ce2c7d9210fd690be2abc64696b71f9636a75064c5c0ad48a3,4189f4d239e7fbdf9c71065f97850b54d3b1b1bd5008cb22146c80c6b579ccad,2
SCE-S32-30,scale_32_deadline_grace_extension,cope_semantic,True,08466da273b491e54329c18fc8e5f9a3a9495275cbc14d7860d86404666ad8e5,961295fda4db3b55f2741ac536378208c9661833fde06d20a27197ad5f9d011c,ee36a031770a3d3cd71ac490bca6116437b5743c1690fcf58bec0ece3064956d,2
SCE-S32-30,scale_32_deadline_grace_extension,neutral_typed,True,08466da273b491e54329c18fc8e5f9a3a9495275cbc14d7860d86404666ad8e5,961295fda4db3b55f2741ac536378208c9661833fde06d20a27197ad5f9d011c,ee36a031770a3d3cd71ac490bca6116437b5743c1690fcf58bec0ece3064956d,2
SCE-S32-30,scale_32_deadline_grace_extension,compact_semantic,True,08466da273b491e54329c18fc8e5f9a3a9495275cbc14d7860d86404666ad8e5,961295fda4db3b55f2741ac536378208c9661833fde06d20a27197ad5f9d011c,ee36a031770a3d3cd71ac490bca6116437b5743c1690fcf58bec0ece3064956d,2
SCE-S32-30,scale_32_deadline_grace_extension,fsr_semantic,True,08466da273b491e54329c18fc8e5f9a3a9495275cbc14d7860d86404666ad8e5,961295fda4db3b55f2741ac536378208c9661833fde06d20a27197ad5f9d011c,ee36a031770a3d3cd71ac490bca6116437b5743c1690fcf58bec0ece3064956d,2
SCE-S32-31,scale_32_concurrent_commutative_fact,cope_semantic,True,9680d04aea67c9a1e7f4df9d7a93ece2e5ac2cdcf1a5ea5ec367f4329163c1a0,d33ce6dd724167d4733cb004ce43fd91f110d9d663b1b921f6439c32b2460d75,69c9e9852cb85e8f0b771f216e84b0f7d138d83f4acb7591e7d8d68d61e83bcb,1
SCE-S32-31,scale_32_concurrent_commutative_fact,neutral_typed,True,9680d04aea67c9a1e7f4df9d7a93ece2e5ac2cdcf1a5ea5ec367f4329163c1a0,d33ce6dd724167d4733cb004ce43fd91f110d9d663b1b921f6439c32b2460d75,69c9e9852cb85e8f0b771f216e84b0f7d138d83f4acb7591e7d8d68d61e83bcb,1
SCE-S32-31,scale_32_concurrent_commutative_fact,compact_semantic,True,9680d04aea67c9a1e7f4df9d7a93ece2e5ac2cdcf1a5ea5ec367f4329163c1a0,d33ce6dd724167d4733cb004ce43fd91f110d9d663b1b921f6439c32b2460d75,69c9e9852cb85e8f0b771f216e84b0f7d138d83f4acb7591e7d8d68d61e83bcb,1
SCE-S32-31,scale_32_concurrent_commutative_fact,fsr_semantic,True,9680d04aea67c9a1e7f4df9d7a93ece2e5ac2cdcf1a5ea5ec367f4329163c1a0,d33ce6dd724167d4733cb004ce43fd91f110d9d663b1b921f6439c32b2460d75,69c9e9852cb85e8f0b771f216e84b0f7d138d83f4acb7591e7d8d68d61e83bcb,1
SCE-S32-32,scale_32_concurrent_conflict_hold,cope_semantic,True,b898026856cbdef4f6b3b3b6421ae8a0359b25fb1e88374ee09ffb3cef3807f8,038fa415809c86196c865b62ff7abdf4439d9ca8e8f6cb7329e6f8d58e651346,007276f3c5f256b84a3507f77388699224054d86226dd189e9edb8d4debe4fc1,3
SCE-S32-32,scale_32_concurrent_conflict_hold,neutral_typed,True,b898026856cbdef4f6b3b3b6421ae8a0359b25fb1e88374ee09ffb3cef3807f8,038fa415809c86196c865b62ff7abdf4439d9ca8e8f6cb7329e6f8d58e651346,007276f3c5f256b84a3507f77388699224054d86226dd189e9edb8d4debe4fc1,3
